"  
No";
"  
Yes, the premise entails the hypothesis. The premise states that the CIA has provided";
"  
Yes. The premise ""Tommy Franks, commander of CENTCOM, said the president";
"  
Yes. The premise ""Tommy Franks, commander of CENTCOM, said the president";
"  
Yes, the premise entails the hypothesis because the term ""brenn"" (burn) is";
"  
Yes, the premise does entail the hypothesis. The premise explicitly mentions burning of humans and";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if none of the passengers were involved in 9";
"  
Yes, the premise entails the hypothesis. The conclusion that none of the passengers were involved in";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the cells were not of";
"  
Yes, the premise entails the hypothesis because if there are no cells that are typically seen in";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if Pickard and Ashcroft were not on";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the inspector sent a decoy package";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it suggests that there is a discrepancy";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Han met with the rest";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that a country can lose";
"  
No";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Thumairy was";
"  
Yes, the premise entails the hypothesis. The premise states that Thumairy was";
"  
Yes. The premise ""Itillegg til å granska ulike offisuelle register";
"  
Yes. The premise does entail the hypothesis because if the Czech government was indeed monitoring surveill";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise suggests that extremists are eager to";
"  
Yes, the premise does entail the hypothesis. The premise suggests that extremists will take";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that one of the two leaders";
"  
Yes, the premise does entail the hypothesis. The premise states that Binalshib";
"  
Yes, the premise does entail the hypothesis. The premise states that Bin Laden'";
"  
Yes, the premise entails the hypothesis. The premise states that successful economies are dependent";
"  
Yes, the premise entails the hypothesis because if a totalitarian government is dependent on a";
"  
Yes, the premise does entail the hypothesis. The premise states that Indianapolis is one";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the books were kept se";
"  
Yes, the premise entails the hypothesis. The premise states that the books were sent further";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
 The premise states that individuals can simply give a small amount;
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that if one does not make";
"  
Yes, the premise entails the hypothesis. The premise states that by making a donation";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
 The premise states that Helsehøgskole needs;
"  
Yes, the premise entails the hypothesis because if the school needs generous donations to maintain";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that 80% of";
"  
Yes, the premise entails the hypothesis. The first sentence in the premise (""De må";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that access to the area is";
"  
Yes, the premise entails the hypothesis. The premise states that access to the area is";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there is a great opportunity";
"  
Yes, the premise does entail the hypothesis. The premise sets up the opportunity for the";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that some people may not";
"  
Yes. The premise mentions that the faculty needs more equipment for their data terminals to pay";
"  
Yes. The premise states that the faculty needs more money to buy additional equipment for their data";
"  
Yes, the premise entails the hypothesis. The premise states that ""Når tilkommen";
"  
Yes, the premise entails the hypothesis because if all gifts are worth less than $1";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the income from ticket sales";
"  
Yes, the premise entails the hypothesis. The premise states that inntekta from ticket";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that the organization has a name and address, which implies that it is";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that my dearest with I";
"  
Yes, the premise entails the hypothesis. The premise states that you have been in a";
"  
Yes. The premise ""Som ein institusjon som fremjar utdanning og";
"  
Yes. The premise states that Sellect is actively working towards future success, which implies that";
"  
Yes. The premise and hypothesis are related in that they both relate to the idea of being a";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there are many federal and";
"  
Yes, the premise entails the hypothesis. The premise states that there are many federal and";
"  
Yes, the premise entails the hypothesis because it suggests that the universities are more concerned with";
"  
Yes, the premise does entail the hypothesis. The premise states that there is a strong";
"  
Yes, the premise entails the hypothesis. The premise states that dei have a degree of";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that last year, 1";
"  
Yes, the premise entails the hypothesis. The premise states that 17% of";
"  
Yes, the premise does entail the hypothesis. The premise states that the organization aims";
"  
Yes, the premise does entail the hypothesis. The premise states that the organization aims";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that they will try to reach";
"  
Yes, the premise does entail the hypothesis. The premise states that we will come to";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that IUPUI needs partnerships and resources to meet user expectations";
"  
Yes.  The premise states that the library needs help to fulfill its mission of providing access";
"  
Yes";
"  
Yes";
"  
Yes. The premise and hypothesis are closely related as they both revolve around the idea of using";
"  
Yes. The premise and hypothesis are closely related in this case because they both relate to the use";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise mentions that there is a need for more study spaces and smaller class sizes,";
"  
Yes. The premise suggests that there is a lack of resources and support for students, which can";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise states that membership in the";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Som medlem av Inner Circle, kan du sjå på dei";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that they have seen something";
"  
Yes, the premise does entail the hypothesis. The premise states that they have seen it";
"  
Yes, the premise does entail the hypothesis. The premise states that Wanda can create";
"  
Yes, the premise does entail the hypothesis. The premise states that Wanda can create";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it is a great";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the person has a credit card and an en";
"  
Yes, the premise does entail the hypothesis. The premise states that you have a card";
"  
Yes, the premise entails the hypothesis because if there are many things that you don't";
"  
Yes, the premise entails the hypothesis because if there is nothing interesting happening at the location,";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that donating money to";
"  
Yes, the premise does entail the hypothesis. The premise states that the campaign will help";
"  
Yes, the premise does entail the hypothesis. The premise states that you can help a";
"  
Yes, the premise does entail the hypothesis. The premise states that you work to help";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if there were originally thirteen colonies";
"  
Yes";
"  
Yes. The premise states that the group of donors will help the rector with immediate needs";
"  
Yes, the premise does entail the hypothesis. The premise mentions ""rettleiing""";
"  
Yes, the premise does entail the hypothesis. The premise states that the organization's";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that when animals are not able to pay their debts, the company";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there were a free round of tour and military";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you will meet someone";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Støtten";
"  
Yes, the premise entails the hypothesis. The premise states that you can gain directly from";
"  
Yes, the premise entails the hypothesis. The premise states that it is time for the";
"  
Yes";
"  
Yes. The premise ""Det er naudsynt at vi lærer amerikanar";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the tax laws in Indiana make it possible to";
"  
Yes, the premise entails the hypothesis because if there were a tax break in Indiana that reduced";
"  
Yes, the premise does entail the hypothesis. The premise states that ""we need help";
"  
Yes, the premise does entail the hypothesis. The premise states that we need help to";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise provides evidence for the hypothesis by";
"  
Yes, the premise does entail the hypothesis. The premise states that something has been done";
"  
Yes, the premise does entail the hypothesis. The premise states that one of the consequences";
"  
Yes, the premise entails the hypothesis. The premise states that one of the consequences of";
"  
Yes, the premise does entail the hypothesis. The premise states that giving money to I";
"  
Yes, the premise entails the hypothesis because if you give money to IRT today, it";
"  
Yes, the premise does entail the hypothesis. The premise states that you will help us";
"  
Yes, the premise does entail the hypothesis. The premise states that you will help us";
"  
Yes, the premise does entail the hypothesis. The premise states that Civic has";
"  
Yes, the premise does entail the hypothesis. The premise states that Civic was";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the most inspiring";
"  
Yes, the premise does entail the hypothesis. The premise states that the author is one";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that money is needed to";
"  
Yes";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise simply states that not all";
"  
Yes, the premise does entail the hypothesis. The premise states that not all Americans are";
"  
Yes, the premise entails the hypothesis. The premise states that you will get high soon";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that you are a member of";
"  
Yes, the premise entails the hypothesis. The premise states that members of Nussbaum";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Hver juli";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Våre l";
"  
No, the premise does not entail the hypothesis. The premise states that our hospit";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that only 20% of students received an I.E.";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that you are a member of";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the person submitted an";
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker wants to";
"  
Yes, the premise entails the hypothesis because if you are working on behalf of President Bush";
"  
Yes, the premise entails the hypothesis. The premise states that he worked for three years";
"  
No, the premise does not entail the hypothesis. The premise states that he worked for";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you made your first";
"  
Yes, the premise does entail the hypothesis. The premise states that it is important to";
"  
Yes, the premise entails the hypothesis because if the premise is true that ""Eg";
"  
Yes, the premise entails the hypothesis. The premise states that ""Omtrent ";
"  
Yes, the premise entails the hypothesis. The premise states that ""Omtrent ";
"  
Yes, the premise does entail the hypothesis. The premise states that more than 3";
"  
Yes, the premise entails the hypothesis. The premise states that more than 30";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that men have a t";
"  
Yes, the premise entails the hypothesis because if men are not able to adapt to changes in";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise provides evidence for the possibility of";
"  
Yes, the premise does entail the hypothesis. The premise states that a breakthrough has";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Veldig my";
"  
Yes, the premise does entail the hypothesis. The premise states that there is an extra";
"  
Yes, the premise does entail the hypothesis. The premise states that there is an extra";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise ""Vil du ha ein";
"  
Yes, the premise does entail the hypothesis. The premise states that you want a little";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that all lobbying activities";
"  
Yes, the premise entails the hypothesis. The premise states that all loans must be";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""We are glad";
"  
Yes, the premise does entail the hypothesis. The premise states that ""we are glad";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes, the premise does entail the hypothesis. The premise states that generosity will";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that more than 66";
"  
Yes, the premise entails the hypothesis. The premise states that more than two-third";
"  
Yes. The premise ""Du, med andre som bryr deg, vil bid";
"  
Yes. The premise ""Du, med andre som bryr deg, vil bid";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis because it implies that there is a challenge or difficulty";
"  
Yes, the premise entails the hypothesis because the first sentence of the premise states that there";
"  
Yes. The premise states that humans are not only good social workers for animals and people but also";
"  
Yes. The premise states that the humanistic society in Nashua is not only good social work";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that you have been connected to";
"  
Yes, the premise entails the hypothesis. The premise states that ""Eg has been";
"  
Yes, the premise entails the hypothesis because if IMA is developing art and culture, it";
"  
Yes, the premise entails the hypothesis because it suggests that IMA is working with other organizations";
"  
Yes";
"  
Yes. The premise states that men's talk is impressive and often critical when it comes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Og ho var";
"  
Yes, the premise entails the hypothesis. The premise states that ""Og was there";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the premise is true then it follows that";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise suggests that there is a problem";
"  
Yes, the premise does entail the hypothesis. The premise sets out a goal of creating";
"  
Yes. The premise and hypothesis are related in that they both relate to the goals and methods of";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if you cannot show empathy and care towards";
"  
Yes, the premise does entail the hypothesis. The premise states that you don't";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that giving us a contribution";
"  
Yes, the premise does entail the hypothesis. The premise states that giving us more money";
"  
Yes, the premise entails the hypothesis because if the beginning of 1991 had";
"  
Yes, the premise does entail the hypothesis. The premise sets the time frame to ";
"  
Yes, the premise entails the hypothesis because it suggests that IZS is focused on helping";
"  
Yes, the premise entails the hypothesis because it provides a reason why IZS would help";
"  
Yes, the premise does entail the hypothesis. The premise states that there are many people";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise sets out a general statement about people";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise ""Omnia vincit";
"  
Yes, the premise does entail the hypothesis because if Brit Hume works for Fox News,";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it would be nice";
"  
Yes, the premise entails the hypothesis because if a girl is wearing white clothes, it";
"  
Yes, the premise entails the hypothesis because if a girl is seen in a red sweater";
"  
No, the premise does not entail the hypothesis. The premise only mentions that Kaufman";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
No, the premise does not entail the hypothesis. The premise states that Klayman";
"  
Yes, the premise entails the hypothesis. The premise states that Klayman was found";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if athletes are born with their maximum potential";
"  
Yes. The premise suggests that training has a greater impact on athletic performance than genetics";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that Oxford University has stopped awarding degrees in poetry, which implies that";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there is a universal price";
"  
Yes, the premise entails the hypothesis. The premise states that there is a universal price";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Sidewalk created an";
"  
Yes, the premise does entail the hypothesis. The premise states that Sidewalk Labs";
"  
Yes, the premise entails the hypothesis. The premise states that there are many things one";
"  
Yes, the premise entails the hypothesis because it implies that there are many activities one can eng";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Lamar Alexander gave up";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if there are delays and cancellations";
"  
Yes";
"  
Yes";
"  
Yes";
  The prem;
"  
No, the premise does not entail the hypothesis. The two statements are unrelated and do";
"  
Yes. The premise does entail the hypothesis because it suggests that there are many alternatives to attack";
"  
Yes. The premise does entail the hypothesis because if there are many alternatives to attacking the";
"  
Yes, the premise entails the hypothesis. The premise states that there is nothing in the";
"  
Yes, the premise does entail the hypothesis. The premise states that there is nothing in";
"  
Yes, the premise entails the hypothesis. The premise states that ""Domstova is";
"  
Yes, the premise entails the hypothesis. The premise suggests that the political arena in";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Morris has been trying to";
"  
Yes, the premise entails the hypothesis. The premise states that Morris has held forth on";
"  
Yes, the premise entails the hypothesis because if there is no strategy to treat tubercul";
"  
Yes, the premise does entail the hypothesis. The premise states that a new strategy to";
"  
Yes, the premise does entail the hypothesis. The article provides a detailed analysis of the factors";
"  
Yes, the premise does entail the hypothesis. The article discusses how politicians and government";
"  
Yes, the premise does entail the hypothesis. The premise sets up a new area of";
"  
Yes, the premise entails the hypothesis. The premise states that the area is new to";
"  
Yes, the premise entails the hypothesis. The premise suggests that Bill Clinton was not";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise suggests that it is better to";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it costs $6";
"  
Yes, the premise does entail the hypothesis. The premise states that it costs $7";
"  
Yes, the premise entails the hypothesis. The premise states that there are no sexual activities";
"  
Yes, the premise entails the hypothesis. The premise states that certain activities or organs";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Det einaste";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that some of the concepts have";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that using these eight simple";
"  
Yes, the premise does entail the hypothesis. The eight simple techniques mentioned in the premise";
"  
Yes, the premise does entail the hypothesis. The premise states that Samuel Sheinbe";
"  
Yes, the premise does entail the hypothesis. The premise states that Samuel Sheinbe";
"  
Yes";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise states that a new ag";
"  
Yes, the premise entails the hypothesis. The premise states that ""Senatet";
"  
Yes, the premise entails the hypothesis. The premise states that politicization of nearly";
"  
Yes, the premise entails the hypothesis. The premise states that politicization of nearly";
"  
Yes. The premise suggests that women in modern times prioritize physical appearance and want to maintain";
"  
Yes. The premise suggests that women in modern society value being physically fit and toned,";
"  
Yes, the premise does entail the hypothesis. The premise states that this is the last";
"  
Yes, the premise does entail the hypothesis. The premise sets up a scenario in which";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes, the premise entails the hypothesis because if all people are as nice as those that I";
"  
Yes, the premise entails the hypothesis because if all humans are unhappy in life, then";
"  
Yes, the premise does entail the hypothesis. The premise states that having an affair with";
"  
Yes, the premise entails the hypothesis. The premise states that the relationship is about love";
"  
Yes, the premise does entail the hypothesis. The premise states that there was a good";
"  
Yes, the premise does entail the hypothesis. The premise states that there was a good";
"  
Yes. The premise suggests that being self-centered and comparing oneself to others can lead";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Lamar Alexander'";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that a certain type of";
"  
Yes, the premise does entail the hypothesis. The premise states that a certain type of";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if it is true that ""it's not";
"  
Yes, the premise entails the hypothesis. The premise states that ""it is not just";
"  
Yes, the premise entails the hypothesis. The premise states that the conventional understanding of rag";
"  
Yes, the premise entails the hypothesis. The premise states that the conventional understanding of rag";
"  
Yes, the premise does entail the hypothesis. The premise sets up a scenario where a";
"  
Yes, the premise does entail the hypothesis. The premise states that a new version of";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Sullivan calls it";
"  
Yes, the premise entails the hypothesis. The premise states that Sullivan calls it";
"  
Yes. The premise suggests that the Taliban's unpopularity is not limited";
"  
No. The premise does not entail the hypothesis. While it is true that some liberal-";
"  
Yes";
"  
Yes. The premise states that Prudence has gone on retirement and left her column to";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise suggests that Time Magazine has exposed";
"  
Yes, the premise entails the hypothesis. The premise states that democratization does not";
"  
Yes, the premise entails the hypothesis. The premise states that democratization has not";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise mentions that the debate about abort";
"  
Yes, the premise entails the hypothesis because if there is no connection between abortion and a";
"  
Yes, the premise entails the hypothesis. The premise states that ""Eg ringte";
"  
Yes, the premise entails the hypothesis. The premise states that you called Ultram";
"  
Yes, the premise entails the hypothesis. The premise states that one of the reasons for";
"  
Yes, the premise entails the hypothesis because if the premise is true that HMOs";
"  
Yes, the premise entails the hypothesis. The premise states that NATO's goal";
"  
Yes, the premise entails the hypothesis. The premise states that NATO's goal";
"  
Yes, the premise entails the hypothesis. The premise states that you cannot find a better";
"  
Yes, the premise entails the hypothesis because if you cannot find a cheaper answer elsewhere,";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if a subscription model is in place for heavy";
"  
Yes. The premise does entail the hypothesis because it suggests that people will consider a payment plan";
"  
Yes";
"  
No";
"  
Yes. The premise does entail the hypothesis because if there is no legal requirement for government to";
 eit regjeringstilbod;
"  
Yes. The premise ""Med programvara, er agenten en selvstendig";
"  
Yes. The premise does entail the hypothesis because it provides a logical connection between the two statements";
"  
Yes. The premise suggests that the authorities are not talking about food security or welfare when";
"  
Yes. The premise does entail the hypothesis because if the government is taking up a food program";
"  
Yes, the premise entails the hypothesis because if there is nothing immoral in what was said";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Letandé";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that many readers of Slate";
  The premise states that Korbel has sent Albr;
"  
Yes. The premise states that Korbel has sent three letters to Albright in the last";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there are ""no";
"  
Yes, the premise entails the hypothesis. The premise states that ""Når er i";
"  
Yes, the premise does entail the hypothesis. The premise ""Når er ikk";
"  
Yes";
"  
No. The premise does not entail the hypothesis. While it may be challenging for a";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise and hypothesis are closely related as they both revolve around the idea that people";
"  
Yes, the premise entails the hypothesis. The premise states that ""Så blir";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if one believes that voluntary exchange is not";
"  
Yes, the premise entails the hypothesis because if it is not necessary to ignore questions that are";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if 3 milligrams of a substance";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you are considering switching";
"  
Yes, the premise does entail the hypothesis. The premise states that you are considering switching";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the Clinton administration believed";
"  
Yes, the premise entails the hypothesis. The premise states that the Clinton administration believed";
"  
Yes. The premise ""Så strålebehandling av mat verkar trygg";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the Smithsonian Institution is not digitized";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if the premise is true that there is";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Å syng om";
"  
Yes, the premise does entail the hypothesis. The first line of the poem states ""Å";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if many parents of these young people have been political";
"  
Yes, the premise entails the hypothesis. The fact that many parents have been political activists";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that men can only see";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Men det é";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it is annoying";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if all powerful great beings are small, then";
"  
Yes, the premise entails the hypothesis because if all the mighty mountains are great, then it";
"  
Yes";
"  
Yes. The premise states that Prudie is not fond of the term ""kjær";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""the library in";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg ville";
"  
Yes, the premise entails the hypothesis. The word ""kven"" in Norwegian means """;
"  
Yes, the premise entails the hypothesis. The premise states that ""Veit du";
"  
Yes, the premise entails the hypothesis. The premise states that certain files cannot be deleted";
"  
Yes, the premise entails the hypothesis. The premise states that you cannot remove these .";
"  
Yes, the premise entails the hypothesis. The premise states that a particular group of people";
"  
Yes, the premise entails the hypothesis. The premise states that a group of people at";
"  
Yes";
"  
Yes. The premise ""Det har noko å seie"" implies that there are many things";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Nemeth wants to";
"  
Yes, the premise does entail the hypothesis. The premise states that Nemeth wants to";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis because if you are a child of one of the";
"  
Yes, the premise does entail the hypothesis. The premise suggests that the Dow Jones is";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ikkje";
"  
Yes, the premise does entail the hypothesis. The premise states that one of the most";
"  
Yes, the premise does entail the hypothesis. The premise states that one of the most";
"  
Yes. The premise does entail the hypothesis because if integrasjonistane are holding fast";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The idea that ""eigendom is";
"  
Yes, the premise entails the hypothesis because if ""eigendom"" means nothing in";
"  
Yes, I believe that the World Trade Organization (WTO) will survive for at least";
"  
Yes, the premise does entail the hypothesis. The WTO has been in existence for over";
"  
Yes, the premise entails the hypothesis. The premise states that alternative is not attractive";
"  
Yes, the premise does entail the hypothesis. The premise states that alternative is not as";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Bestill";
"  
Yes, the premise does entail the hypothesis. The premise ""Bestill eg ein til";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there is a difficult time";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that all of Naomi";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis because it provides additional information about the company's";
"  
Yes, the premise does entail the hypothesis because if there are no teachers in schools then there";
"  
Yes";
"  
Yes. The premise ""For å undertrykke biletet av homoseks";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Apollo's";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that vitamin studies ignore clear";
"  
Yes, the premise does entail the hypothesis. The premise states that vitamin studies ignore";
"  
Yes";
"  
Yes";
