"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis. The absence of IT planning implies that there is";;
"  
Yes. The premise does entail the hypothesis because if an idea has little to no value in";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that there is a lack of";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a lack";;
 The premise states that;;
"  
Yes, die premise entails the hypothesis. The premise states that the National Postage St";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it provides evidence that supports the idea that there";;
"  
Yes, the premise entails the hypothesis because if many witnesses testify about the ending of";;
"  
Yes, the premise entails the hypothesis because if the foreigner leaves the country, there will";;
"  
Yes";;
"  
Yes";;
 The premise states that approximately 2100 general pract;;
 According to the premise, almost all general practitioners had;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
 The premise states that a recent example of an interruption caused;;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is little or";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""the least amount";;
 The premise states that there are various solutions to alcohol misuse;;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it implies that the GAO does not have";;
"  
Yes, the premise does entail the hypothesis because it states that the GAO's";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the opposition's";;
"  
Yes, the premise entails the hypothesis. The premise states that the opposition's lawyer";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""the wins and";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""financial";;
"  
Yes, the premise entails the hypothesis. The loss of financial momentum can indeed hinder a";;
"  
Yes, the premise entails the hypothesis because it provides a basis for why LSC-be";;
"  
Yes, the premise entails the hypothesis because it provides a logical connection between the two statements.";;
"  
Yes, the premise does entail the hypothesis. The premise states that there can be an";;
"  
Yes, the premise does entail the hypothesis. The premise states that people with alcohol";;
"  
Yes, the premise entails the hypothesis. The premise states that it is clear that the";;
"  
Yes, the premise entails the hypothesis because if the premise is true that the AIC";;
"  
Yes, the premise does entail the hypothesis. The premise states that developing business processes play";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Nicks is exception";;
"  
Yes, the premise does entail the hypothesis. The premise states that Nicks is exception";;
"  
Yes";;
"  
Yes";;
 The premise states that two Al Qaeda agents were identified by;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that despite two years of";;
"  
Yes, the premise does entail the hypothesis. The premise states that despite two years of";;
"  
Yes, the premise does entail the hypothesis. The premise states that there was no normal";;
"  
Yes, the premise does entail the hypothesis. The lack of any communication from American 1";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if there is a barrier that hinders";;
"  
Yes, the premise entails the hypothesis. The premise states that selfs in a particular";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Kommissie";;
"  
Yes, die premise entails die hypotesis. The premise states that there is a";;
"  
Yes";;
 The premise states that in 2003, this;;
"  
Yes. The premise does entail the hypothesis because if all PAPD beamptes have";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if there were a friend of a senior Hez";;
"  
Yes, the premise entails the hypothesis because if a friend of a senior Hezbollah";;
"  
Yes, the premise entails the hypothesis. The premise states that both Secretary Powell and";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the CIA has";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Withuis has";;
"  
No";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are specific passengers";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a connection";;
"  
No";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it suggests that Al Qaeda did not receive";;
"  
Yes, the premise entails the hypothesis. The premise states that al-Qaeda";;
"  
Yes, the premise does entail the hypothesis because if we don't know what happens and";;
"  
Yes, the premise does entail the hypothesis. The premise sets out to discover what happens";;
"  
Yes, the premise does entail the hypothesis. The premise states that the FBI must";;
"  
Yes, the premise does entail the hypothesis. The premise states that the FBI must";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are extremist";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is evidence to";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the president said something,";;
"  
Yes, the premise entails the hypothesis. The premise states that the president said something about";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Mihdhar has";;
"  
Yes, the premise does entail the hypothesis. The premise states that Mihdhar lived";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the delegates are";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the financial market has";;
"  
Yes, the premise does entail the hypothesis. The premise states that the financial market has";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if there are a captain and five firemen in";;
  The premise;;
  Die reeks het ook Operation Infinite Resolve ingesluit;"n verskeidenheid voorgestelde opvolg aanvalle op Al Qaeda-teikens in Afghanistan. 
Hypothesis:  Daar was geen planne beskikbaar om teikens in Afghanistan op te volg nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Die reeks het ook Operation Infinite Resolve ingesluit;"n verskeidenheid voorgestelde opvolg aanvalle op Al Qaeda-teikens in Afghanistan. 
Hypothesis:  Daar is verskeie planne opgestel vir daaropvolgende aanvalle teen Al-Kaïda. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are 3";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are 3";;
"  
No, the premise does not entail the hypothesis. The premise states that the General Aud";;
"  
Yes, the premise does entail the hypothesis. The premise states that the General Audit";;
"  
Yes, the premise does entail the hypothesis. The premise states that agentskappe must";;
"  
Yes, the premise entails the hypothesis. The premise states that agentskappe must be";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"
The premise states that to promote";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that imagination is not a";;
"  
Yes, the premise does entail the hypothesis. The premise states that imagination is not associated";;
"  
Yes, the premise does entail the hypothesis. The premise states that Al Qaeda";;
"  
No, it does not entail the hypothesis. The premise only states that Al Qaeda";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the FISA";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the CIA received intelligence";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the final recipient";;
"  
Yes, the premise does entail the hypothesis. The premise states that the ultimate receiver";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that all windows on the";;
"  
Yes, the premise does entail the hypothesis. The premise states that the windows in the";;
"  
Yes, the premise entails the hypothesis. The fact that there are two neighbors on both";;
"  
Yes, the premise entails the hypothesis. The premise states that there are two sides to";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if there are Hezbollah ammunition";;
"  
Yes, the premise does entail the hypothesis. The premise states that terrorists use false";;
"  
Yes, the premise does entail the hypothesis. The premise states that terrorists use false";;
"  
No. The premise and hypothesis are not related in any way. The premise states that there";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if some employees of the government have gone to various";;
"  
Yes, the premise does entail the hypothesis. The premise states that some workers from the";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis. The premise states that not every person has";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
" The premise states that ""Vir die vlieëners se";;
" The premise states that ""Vir die vlieëners se";;
"  
Yes. The premise states that the FDNY did not have responsibility for the city's";;
"  
Yes. The premise suggests that the FDNY is not responsible for the city's response";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Dubai;"n moderne stad met maklike toegang tot 'n groot lughawe, reisagentskappe, hotelle en Westerse kommersiële instellings, was 'n ideale transito-punt. 
Hypothesis:  Dubai was 'n gerieflike transito-punt. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Dubai;"n moderne stad met maklike toegang tot 'n groot lughawe, reisagentskappe, hotelle en Westerse kommersiële instellings, was 'n ideale transito-punt. 
Hypothesis:  Dit het geen sin gehad om Dubai as 'n deurgangspunt te gebruik nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The fact that the man was shot and killed";;
"  
Yes, the premise does entail the hypothesis. The fact that the man died on the plane";;
"  
Yes. The premise does entail the hypothesis because if it were not for 9/1";;
"  
Yes. The premise does entail the hypothesis because if it were not for 9/1";;
"  
Yes, the premise does entail the hypothesis because it suggests that the head of the CIA";;
"  
No, the premise does not entail the hypothesis. The premise mentions focusing on Pakistan";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is an increasing";;
"  
Yes, the premise does entail the hypothesis because the premise provides a general context in which";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that Maher Arar was";;
"  
Yes, the premise entails the hypothesis. The premise states that the meeting took place until";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Clarke was asked";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that hulls are";;
"  
Yes, the premise entails the hypothesis. The premise states that hulle (the needs";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that President Bush later proposed";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that there is a problem with";;
"  
Yes, the premise entails the hypothesis. The premise states that there is a hind";;
"  
No";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that before 9/";;
"  
Yes, the premise entails the hypothesis. The premise states that before 9/1";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that there was never any formal";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that there are alternative ways";;
"  
Yes";;
"  
No, the premise does not entail the hypothesis. The premise states that all places are";;
"  
Yes, die premise does entail die hypothesis. Die premise states that there are several places";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the CIA did provide more formal assessments";;
"  
Yes, the premise entails the hypothesis. The premise states that the CIA provided more";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are references to";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are references to";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that none of the passengers";;
"  
Yes, the premise does entail the hypothesis. The premise states that none of the passengers";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it implies that the FBI has not been";;
"  
Yes, the premise does entail the hypothesis because it provides a reason why the FBI would";;
"  
Yes, the premise entails the hypothesis. The premise states that the mayor and police officers";;
"  
Yes, the premise entails the hypothesis. The fact that the mayor and police officers were meeting";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""hy het by";;
"  
Yes";;
"  
Yes";;
  Ons besef dat 'n duur verandering in NORAD se verdedigingsposisie om die gevaar van selfmoordkapers te hanteer, voordat so 'n bedreiging ooit werklik besef is;"n moeilike verkoop sou gewees het. 
Hypothesis:  Dit is baie duur om NORAD se verdedigingsposisie te verander. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Ons besef dat 'n duur verandering in NORAD se verdedigingsposisie om die gevaar van selfmoordkapers te hanteer, voordat so 'n bedreiging ooit werklik besef is;"n moeilike verkoop sou gewees het. 
Hypothesis:  NORAD is altyd op maksimum gereedheid vir enige bedreiging. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
No";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that Thumairy has";;
"  
Yes, the premise entails the hypothesis. The premise states that Thumairy has";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise suggests that if the US does not actively define itself in the Islamic";;
"  
Yes. The premise suggests that if the US does not actively define itself in the Islamic";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Bin Laden'";;
"  
Yes, the premise does entail the hypothesis. The premise states that Bin Laden'";;
"  
Yes. The premise suggests that a successful economy depends on a vibrant private sector, which";;
"  
Yes. The premise does entail the hypothesis because if successful economies rely on dynamic private se";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the boxes will be";;
"  
Yes, the premise does entail the hypothesis. The premise states that all other packages have";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
 The premise states that individuals can contribute an unlimited amount to the;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are benefits to";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are tax benefits";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the school has a";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if you don't believe us, you will";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that access to our land";;
"  
Yes, the premise entails the hypothesis because if someone has access to our land without permission,";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker is delight";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Kaartj";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because if all gifts cost $100";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the cost of this";;
"  
Yes, the premise does entail the hypothesis. The premise states that the cost of the";;
"  
Yes, the premise does entail the hypothesis. The premise states that joining the National Aud";;
"  
Yes, the premise entails the hypothesis because if there are no tangible benefits to being a";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Linda Hardwick";;
"  
Yes, the premise does entail the hypothesis. The premise states that your relationship with the";;
"  
No, it does not entail the hypothesis. The premise only states that your relationship with the";;
"  
Yes. The premise does entail the hypothesis because it implies that the society has no resources for";;
"  
Yes. The premise does entail the hypothesis because it provides a general framework for how the society";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a competition";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Die gegradue";;
"  
Yes, the premise entails the hypothesis. The premise states that the upgraded educators";;
"  
Yes, the premise entails the hypothesis because if 17% of the museum's";;
"  
Yes, the premise entails the hypothesis. The premise states that ""verleden jaar";;
"  
Yes, the premise does entail the hypothesis. The premise states that students can reach things";;
"  
Yes, the premise does entail the hypothesis. The premise states that students can reach things";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise sets out a goal that needs to";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Ons sal die";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Of dit nou 'n literêre onderwerp is;"n geesteswetenskaplike kwessie, of 'n belangrike persoon in die geskiedenis - elke toneelstuk het 'n direkte verband met die leerplan in die klaskamer. 
Hypothesis:  Elke toneelstuk kan verband hou met wat studente op skool leer. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Of dit nou 'n literêre onderwerp is;"n geesteswetenskaplike kwessie, of 'n belangrike persoon in die geskiedenis - elke toneelstuk het 'n direkte verband met die leerplan in die klaskamer. 
Hypothesis:  Speletjies staan op hul eie en het geen toepassing in die skool nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise mentions that there are not enough lockers for students and this implies that there";;
"  
Yes, the premise does entail the hypothesis. The foundation's non-profit status";;
"  
Yes, die premise entails the hypothesis. The premise states that the Clinton Birth";;
"  
Yes, the premise does entail the hypothesis. The premise states that anyone who donates";;
"  
Yes, the premise entails the hypothesis. The premise states that for a donation of";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""As an inner";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a scenario where one";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  In November het ons briewe gestuur om 'n storie oor die Boys &amp; Girls Club";"n wonderlike, positiewe plek vir kinders en jeug in ons gemeenskap, met julle te deel. 
Hypothesis:  Ons het verlede jaar nie briewe uitgestuur nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  In November het ons briewe gestuur om 'n storie oor die Boys &amp; Girls Club";"n wonderlike, positiewe plek vir kinders en jeug in ons gemeenskap, met julle te deel. 
Hypothesis:  Ons stuur briewe in November uit. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise entails the hypothesis because if the premise is true that the teacher was";;
"  
Yes, the premise entails the hypothesis because if it is true that we have never had a";;
"  
Yes, the premise does entail the hypothesis. The premise states that you will send a";;
"  
Yes, the premise does entail the hypothesis. The premise sets up the situation where someone";;
"  
Yes, the premise does entail the hypothesis. The premise mentions ""gebruik""";;
"  
Yes, the premise entails the hypothesis because if there is nothing exciting happening here, then";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the museum's";;
"  
Yes, the premise does entail the hypothesis. The premise states that by participating in";;
"  
Yes, the premise does entail the hypothesis. The premise sets out a goal of impro";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it provides a logical explanation for how the th";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that the speaker is advoc";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that the speaker is advoc";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because if children are under six years old, they";;
"  
Yes, the premise does entail the hypothesis because if there were a free tour and military disc";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Jou will help";;
"  
Yes, the premise does entail the hypothesis. The premise states that jou bydrae";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it implies that philanthropy is not important";;
"  
Yes, the premise does entail the hypothesis because it implies that educating Americans about the importance";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes, the premise entails the hypothesis. The premise provides evidence that we have been doing";;
"  
Yes, the premise does entail the hypothesis. The premise states that we have been doing";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker hopes to";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Olympics have a";;
"  
Yes, the premise does entail the hypothesis. The premise states that Civic has";;
"  
Yes, the premise does entail the hypothesis. The premise states that Civic has";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that nature writers can insp";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""the world sees";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that money is needed for";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ongel";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ons bes";;
"  
Yes, the premise does entail the hypothesis. The premise states ""I hope to hear";;
"  
Yes, the premise does entail the hypothesis. The premise states ""I hope to hear";;
"  
Yes, the premise does entail the hypothesis. The premise states that Nussbaum leads";;
"  
Yes, the premise entails the hypothesis because if there is no Nussbaum leadership, then";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that every four years we";;
"  
Yes, the premise entails the hypothesis. The lack of state funding for education and research";;
"  
Yes, the premise entails the hypothesis. The lack of state funding for education and research";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes. The premise states that the percentage of alumni giving to the school has increased from";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the IRT-";;
"  
Yes, the premise does entail the hypothesis. The premise provides background information on the effect";;
"  
Yes, the premise does entail the hypothesis. The premise states that President Bush will be";;
"  
Yes, the premise does entail the hypothesis. The premise states that President Bush said you";;
"  
Yes, the premise does entail the hypothesis. The premise states that the person has been";;
"  
Yes, the premise entails the hypothesis. The premise states that he has done packaging";;
  Ek het my debuut in Indianapolis as 'n toneelregisseur 'n maand gelede gemaak met Inherit the Wind;"n klassieke Amerikaanse toneelstuk, wat deur meer as 5 500 junior- en hoërskoolleerlinge bygewoon is. 
Hypothesis:  Ek het nog nooit as 'n toneelregisseur gewerk nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Ek het my debuut in Indianapolis as 'n toneelregisseur 'n maand gelede gemaak met Inherit the Wind;"n klassieke Amerikaanse toneelstuk, wat deur meer as 5 500 junior- en hoërskoolleerlinge bygewoon is. 
Hypothesis:  Verskeie duisende hoërskoolleerlinge het 'n toneelstuk bygewoon wat ek geregisseer het. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise provides a reason why the Centre";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Centre for Phil";;
"  
Yes, the premise does entail the hypothesis. The premise states that approximately 25";;
"  
Yes, the premise entails the hypothesis because if approximately 25% of current cathedral";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that there is continuous change within";;
"  
Yes, the premise entails the hypothesis because if there is continuous change within something, it implies";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that we lost something valuable";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a lack";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are budget cut";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
 The premise states that donors who give $100 or;;
"  
Yes, the premise does entail the hypothesis. The premise states that donors who give";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where someone";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it suggests that all aspects of theatre are related";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""U word uit";;
"  
Yes, the premise does entail the hypothesis. The premise states that two state universities";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that more than 6";;
"  
Yes, the premise does entail the hypothesis. The premise states that more than 6";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if you pay the membership fee, you will gain";;
"  
Yes, the premise entails the hypothesis because it implies that even though members will have access to";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where there";;
"  
Yes, die premise does entail die hypothesis. Die premise states that there is no program";;
"  
Yes. The premise states that the community does not provide adequate services for their needs and";;
"  
Yes. The premise does entail the hypothesis because it suggests that the human society in Nashua";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if you are 17 years old and not";;
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker is ";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are representatives";;
"  
Yes, the premise does entail the hypothesis. The premise mentions that there are representatives";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it implies that there is no support for us from";;
"  
Yes, the premise entails the hypothesis because it provides evidence for why she was a good support";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if there are no tax credits offered by the";;
